Week,Mon,Tue,Wed,Thurs,Fri,Sat,Sun
1,Cross,3 m run,5 m run,3 m run,Rest,5 m pace,10
2,Cross,3 m run,5 m run,3 m run,Rest,5 m run,11
3,Cross,3 m run,6 m run,3 m run,Rest,6 m pace,8
4,Cross,3 m run,6 m run,3 m run,Rest,6 m pace,13
5,Cross,3 m run,7 m run,3 m run,Rest,7 m run,14
6,Cross,3 m run,7 m run,3 m run,Rest,7 m pace,10
7,Cross,4 m run,8 m run,4 m run,Rest,8 m pace,16
8,Cross,4 m run,8 m run,4 m run,Rest,8 m run,17
9,Cross,4 m run,9 m run,4 m run,Rest,Rest,Half Marathon
10,Cross,4 m run,9 m run,4 m run,Rest,9 m pace,19
11,Cross,5 m run,10 m run,5 m run,Rest,10 m run,20
12,Cross,5 m run,6 m run,5 m run,Rest,6 m pace,12
13,Cross,5 m run,10 m run,5 m run,Rest,10 m pace,20
14,Cross,5 m run,6 m run,5 m run,Rest,6 m run,12
15,Cross,5 m run,10 m run,5 m run,Rest,10 m pace,20
16,Cross,5 m run,8 m run,5 m run,Rest,4 m pace,12
17,Cross,4 m run,6 m run,4 m run,Rest,4 m run,8
18,Cross,3 m run,4 m run,Rest,Rest,2 m run,Marathon